source,target,value
Liberia,Nigeria,3674
Sudan,Nigeria,102
Afghanistan,Pakistan,1123647
Iraq,Pakistan,123
Somalia,Pakistan,309
Angola,South Africa,1144
Burundi,South Africa,888
Dem. Rep. of the Congo,South Africa,3544
Rwanda,South Africa,1100
Somalia,South Africa,454
Sudan,South Africa,151
Burundi,Rwanda,1841
Dem. Rep. of the Congo,Rwanda,34725
Afghanistan,Saudi Arabia,107
Iraq,Saudi Arabia,706
Liberia,Senegal,249
Rwanda,Senegal,306
Liberia,Sierra Leone,50720
Eritrea,Sudan,100040
Burundi,Eswatini,155
Afghanistan,Switzerland,976
Dem. Rep. of the Congo,Switzerland,265
Iraq,Switzerland,2281
Sri Lanka,Switzerland,527
Rwanda,Switzerland,168
Somalia,Switzerland,301
Viet Nam,Switzerland,2351
Sudan,Switzerland,115
Afghanistan,Syrian Arab Rep.,425
Iraq,Syrian Arab Rep.,2435
Somalia,Syrian Arab Rep.,453
Sudan,Syrian Arab Rep.,191
Burundi,United Rep. of Tanzania,324209
Dem. Rep. of the Congo,United Rep. of Tanzania,150160
Somalia,United Rep. of Tanzania,3330
Myanmar,Thailand,118762
Afghanistan,Tajikistan,3304
Afghanistan,Turkmenistan,1224
Azerbaijan,Turkmenistan,132
Rwanda,Togo,809
Iraq,Turkey,267
Burundi,Uganda,317
Dem. Rep. of the Congo,Uganda,11540
Rwanda,Uganda,19604
Somalia,Uganda,892
Sudan,Uganda,178281
Afghanistan,Ukraine,1510
Azerbaijan,Ukraine,237
Afghanistan,Uzbekistan,2441
Palestinian,Yemen,410
Iraq,Yemen,225
Somalia,Yemen,46951
Angola,Zambia,71894
Burundi,Zambia,1730
Dem. Rep. of the Congo,Zambia,54249
Rwanda,Zambia,4778
Somalia,Zambia,987
Angola,Zimbabwe,506
Burundi,Zimbabwe,1484
Dem. Rep. of the Congo,Zimbabwe,6122
Liberia,Zimbabwe,170
Rwanda,Zimbabwe,3591
Somalia,Zimbabwe,143
Sudan,Zimbabwe,123
Dem. Rep. of the Congo,Angola,13510
Rwanda,Angola,148
Somalia,Egypt,3809
Sudan,Egypt,14904
Azerbaijan,Armenia,183724
Iraq,Armenia,127
Afghanistan,Azerbaijan,148
Dem. Rep. of the Congo,Burundi,48424
Rwanda,Burundi,378
Burundi,Benin,118
Dem. Rep. of the Congo,Benin,842
Nigeria,Benin,238
Rwanda,Benin,601
Myanmar,Bangladesh,20402
Afghanistan,Belarus,534
Angola,Brazil,2005
Liberia,Brazil,284
Viet Nam,Cambodia,357
Dem. Rep. of the Congo,Central African Rep.,3447
Rwanda,Central African Rep.,241
Sudan,Central African Rep.,19470
Central African Rep.,Chad,29683
Sudan,Chad,199969
Viet Nam,China,299287
Nigeria,Cameroon,16686
Angola,Congo,3632
Dem. Rep. of the Congo,Congo,58834
Rwanda,Congo,5046
Angola,Dem. Rep. of the Congo,21383
Burundi,Dem. Rep. of the Congo,1004
Rwanda,Dem. Rep. of the Congo,1698
Sudan,Dem. Rep. of the Congo,11955
Somalia,Eritrea,3523
Sudan,Eritrea,714
Eritrea,Ethiopia,8719
Somalia,Ethiopia,16470
Sudan,Ethiopia,90451
Angola,Gabon,132
Rwanda,Gabon,103
Liberia,Ghana,40853
Liberia,Guinea,127256
Dem. Rep. of the Congo,Cote d'Ivoire,192
Liberia,Cote d'Ivoire,70402
Rwanda,Cote d'Ivoire,257
Afghanistan,India,9761
Myanmar,India,1162
Afghanistan,Iran (Islamic Rep. of),952802
Iraq,Iran (Islamic Rep. of),93173
Palestinian,Iraq,22711
Syrian Arab Rep.,Iraq,489
Iraq,Jordan,889
Myanmar,Japan,145
Viet Nam,Japan,1419
Afghanistan,Kazakhstan,670
Burundi,Kenya,782
Dem. Rep. of the Congo,Kenya,2367
Eritrea,Kenya,461
Rwanda,Kenya,1541
Somalia,Kenya,153627
Sudan,Kenya,67556
Afghanistan,Kyrgyzstan,258
Palestinian,Kuwait,910
Iraq,Kuwait,418
Somalia,Kuwait,107
Palestinian,Libya,8873
Liberia,Libya,152
Somalia,Libya,2938
Iraq,Lebanon,1148
Sudan,Lebanon,311
Liberia,Mauritania,136
Dem. Rep. of the Congo,Mali,106
Liberia,Mali,446
Myanmar,Malaysia,9601
Angola,Namibia,6618
Dem. Rep. of the Congo,Nigeria,133
Liberia,Nigeria,2932
Sudan,Nigeria,104
Afghanistan,Pakistan,960041
Iraq,Romania,134
Burundi,Rwanda,4606
Dem. Rep. of the Congo,Rwanda,45460
Palestinian,Saudi Arabia,240007
Iraq,Saudi Arabia,440
Liberia,Senegal,249
Rwanda,Senegal,304
Liberia,Sierra Leone,61799
Eritrea,Sudan,42121
Burundi,Eswatini,155
Afghanistan,Switzerland,1524
Angola,Switzerland,2129
Burundi,Switzerland,176
Dem. Rep. of the Congo,Switzerland,1156
Eritrea,Switzerland,215
Iraq,Switzerland,3208
Sri Lanka,Switzerland,2952
Rwanda,Switzerland,236
Somalia,Switzerland,3747
Viet Nam,Switzerland,2214
Sudan,Switzerland,169
Syrian Arab Rep.,Switzerland,179
Afghanistan,Syrian Arab Rep.,360
Iraq,Syrian Arab Rep.,14391
Somalia,Syrian Arab Rep.,467
Sudan,Syrian Arab Rep.,166
Burundi,United Rep. of Tanzania,245475
Dem. Rep. of the Congo,United Rep. of Tanzania,153474
Somalia,United Rep. of Tanzania,2867
Myanmar,Thailand,120814
Afghanistan,Turkmenistan,1030
Azerbaijan,Turkmenistan,129
Dem. Rep. of the Congo,Togo,109
Rwanda,Togo,840
Iraq,Turkey,125
Burundi,Uganda,663
Dem. Rep. of the Congo,Uganda,14762
Rwanda,Uganda,18902
Somalia,Uganda,1089
Sudan,Uganda,194168
Afghanistan,Ukraine,1290
Azerbaijan,Ukraine,197
Afghanistan,Uzbekistan,2306
Eritrea,Yemen,101
Palestinian,Yemen,440
Iraq,Yemen,219
Somalia,Yemen,63511
Angola,Zambia,88842
Burundi,Zambia,1766
Dem. Rep. of the Congo,Zambia,66248
Rwanda,Zambia,5791
Somalia,Zambia,975
Angola,Zimbabwe,212
Burundi,Zimbabwe,1048
Dem. Rep. of the Congo,Zimbabwe,3614
Liberia,Zimbabwe,116
Rwanda,Zimbabwe,857
Somalia,Zimbabwe,217
Sudan,Zimbabwe,201
Dem. Rep. of the Congo,Angola,13464
Rwanda,Angola,148
Eritrea,Egypt,205
Palestinian,Egypt,255
Somalia,Egypt,3940
Sudan,Egypt,13446
Azerbaijan,Armenia,219324
