source,target,value
Azerbaijan,Armenia,192033
Afghanistan,Azerbaijan,257
Russian Federation,Azerbaijan,116
Dem. Rep. of the Congo,Burundi,39762
Rwanda,Burundi,765
Burundi,Benin,134
Chad,Benin,455
Congo,Benin,1243
Dem. Rep. of the Congo,Benin,872
Nigeria,Benin,250
Rwanda,Benin,593
Togo,Benin,1205
Myanmar,Bangladesh,21967
Afghanistan,Belarus,478
Peru,Bolivia (Plurinational State of),223
Angola,Botswana,754
Namibia,Botswana,1237
Somalia,Botswana,575
Croatia,Bosnia and Herzegovina,22016
Serbia and Kosovo: S/RES/1244 (1999),Bosnia and Herzegovina,5999
Guatemala,Belize,169
El Salvador,Belize,135
Viet Nam,Cambodia,158
Chad,Central African Rep.,1892
Congo,Central African Rep.,217
Dem. Rep. of the Congo,Central African Rep.,10798
Rwanda,Central African Rep.,238
Sudan,Central African Rep.,37375
Central African Rep.,Chad,20045
Dem. Rep. of the Congo,Chad,196
Sudan,Chad,12729
Viet Nam,China,297219
Angola,Congo,17746
Central African Rep.,Congo,1724
Dem. Rep. of the Congo,Congo,83515
Rwanda,Congo,5985
Angola,Dem. Rep. of the Congo,90729
Burundi,Dem. Rep. of the Congo,873
Central African Rep.,Dem. Rep. of the Congo,2864
Congo,Dem. Rep. of the Congo,1801
Rwanda,Dem. Rep. of the Congo,1510
Sudan,Dem. Rep. of the Congo,41265
Uganda,Dem. Rep. of the Congo,4031
Colombia,Costa Rica,5024
Cuba,Costa Rica,327
Nicaragua,Costa Rica,475
Western Sahara,Cuba,878
Somalia,Eritrea,2990
Sudan,Eritrea,622
Eritrea,Ethiopia,5126
Somalia,Ethiopia,37532
Sudan,Ethiopia,82001
Afghanistan,France,1256
Albania,France,869
Algeria,France,604
Angola,France,1777
Armenia,France,481
Azerbaijan,France,253
Burundi,France,219
Bangladesh,France,797
Bosnia and Herzegovina,France,1513
Cambodia,France,15439
Central African Rep.,France,220
Chad,France,380
China,France,442
Chile,France,102
Cameroon,France,164
Congo,France,1131
Dem. Rep. of the Congo,France,6339
Colombia,France,264
Ethiopia,France,292
Georgia,France,416
Ghana,France,760
Guinea-Bissau,France,842
Guinea,France,330
Haiti,France,1570
Cote d'Ivoire,France,111
India,France,177
Iran (Islamic Rep. of),France,1884
Iraq,France,1597
Kazakhstan,France,102
Lao People's Dem. Rep.,France,8703
Liberia,France,148
Sri Lanka,France,15938
Mauritania,France,2143
Rep. of Moldova,France,100
Mali,France,115
Nigeria,France,181
Pakistan,France,157
Peru,France,310
Poland,France,242
Romania,France,256
Russian Federation,France,1794
Rwanda,France,1329
Serbia and Kosovo: S/RES/1244 (1999),France,5589
Sierra Leone,France,180
Somalia,France,563
Viet Nam,France,10818
Sudan,France,292
Syrian Arab Rep.,France,207
Togo,France,186
Tunisia,France,320
Turkey,France,9407
Ukraine,France,438
Angola,Gabon,124
Chad,Gabon,1053
Congo,Gabon,11945
Senegal,Gambia,337
Sierra Leone,Gambia,1060
Russian Federation,Georgia,4176
Liberia,Ghana,21696
Sierra Leone,Ghana,1645
Togo,Ghana,374
Senegal,Guinea-Bissau,7322
Sierra Leone,Guinea-Bissau,307
Nicaragua,Guatemala,501
El Salvador,Guatemala,176
Cote d'Ivoire,Guinea,2188
Liberia,Guinea,102901
Sierra Leone,Guinea,41403
Bosnia and Herzegovina,Croatia,7672
Serbia and Kosovo: S/RES/1244 (1999),Croatia,679
Congo,Cote d'Ivoire,575
Dem. Rep. of the Congo,Cote d'Ivoire,150
Liberia,Cote d'Ivoire,43000
Rwanda,Cote d'Ivoire,302
Sierra Leone,Cote d'Ivoire,360
Afghanistan,India,11371
China,India,92346
Sri Lanka,India,63767
Myanmar,India,1043
Afghanistan,Indonesia,148
Iraq,Indonesia,297
Iran (Islamic Rep. of),Iraq,20251
Syrian Arab Rep.,Iraq,100
Turkey,Iraq,13724
Iraq,Jordan,1069
Cambodia,Japan,179
Lao People's Dem. Rep.,Japan,160
Myanmar,Japan,128
