,Year,Country of origin,Country of origin (ISO),Country of asylum,Country of asylum (ISO),Recognized decisions,Complementary protection,Rejected decisions,Otherwise closed,Total decisions
38559,2010,Ethiopia,ETH,Colombia,COL,0,0,0,10,10
67113,2010,Ghana,GHA,Sweden,SWE,0,0,28,5,33
78488,2010,Eritrea,ERI,Cuba,CUB,5,0,0,5,10
38522,2010,United Rep. of Tanzania,TZA,Canada,CAN,27,0,5,10,42
39532,2010,Iran (Islamic Rep. of),IRN,New Zealand,NZL,5,0,20,0,25
6300,2010,Gabon,GAB,Norway,NOR,0,0,5,0,5
39468,2010,Croatia,HRV,Norway,NOR,0,0,12,0,12
6335,2010,Romania,ROU,Norway,NOR,0,0,5,0,5
38550,2010,Cote d'Ivoire,CIV,Congo,COG,0,0,22,0,22
38846,2010,Angola,AGO,United Kingdom of Great Britain and Northern Ireland,GBR,12,15,61,10,98
38508,2010,Singapore,SGP,Canada,CAN,5,0,0,0,5
39744,2010,Nigeria,NGA,Spain,ESP,0,0,162,10,172
976,2010,Rep. of Korea,KOR,Australia,AUS,5,0,25,0,30
39999,2010,United States of America,USA,Switzerland,CHE,0,0,0,5,5
39895,2010,Togo,TGO,Sweden,SWE,0,0,5,0,5
18880,2010,Dem. Rep. of the Congo,COD,Guinea,GIN,5,0,0,11,16
1000,2010,Syrian Arab Rep.,SYR,Australia,AUS,5,0,0,0,5
39220,2010,Peru,PER,Japan,JPN,0,5,0,0,5
38422,2010,Djibouti,DJI,Canada,CAN,51,0,5,0,56
38318,2010,Rwanda,RWA,Belgium,BEL,115,0,370,17,502
39211,2010,Iran (Islamic Rep. of),IRN,Japan,JPN,0,5,22,5,32
76193,2010,Iran (Islamic Rep. of),IRN,India,IND,13,0,0,0,13
76178,2010,India,IND,"China, Hong Kong SAR",HKG,0,0,23,0,23
71891,2010,Chad,TCD,France,FRA,34,0,0,0,34
18957,2010,Ghana,GHA,Romania,ROU,0,0,5,0,5
1005,2010,Ukraine,UKR,Australia,AUS,0,0,5,0,5
65139,2010,Guatemala,GTM,United States of America,USA,233,0,68,922,1223
81655,2010,Liberia,LBR,"China, Hong Kong SAR",HKG,0,0,10,0,10
81746,2010,Iraq,IRQ,Malaysia,MYS,63,0,0,15,78
65168,2010,Madagascar,MDG,United States of America,USA,5,0,0,0,5
39780,2010,Serbia and Kosovo: S/RES/1244 (1999),SRB,Slovakia,SVK,0,0,5,14,19
18769,2010,Ethiopia,ETH,Austria,AUT,12,5,5,5,27
39952,2010,Jordan,JOR,Switzerland,CHE,12,0,0,0,12
76172,2010,Sudan,SDN,Egypt,EGY,5,0,66,0,71
76228,2010,Cambodia,KHM,Malaysia,MYS,0,0,15,0,15
38188,2010,China,CHN,Australia,AUS,196,0,976,0,1172
65149,2010,Iraq,IRQ,United States of America,USA,210,0,12,42,264
69611,2010,China,CHN,Germany,DEU,62,5,391,24,482
39954,2010,Kenya,KEN,Switzerland,CHE,0,5,0,14,19
65192,2010,South Africa,ZAF,United States of America,USA,0,0,0,10,10
39232,2010,Armenia,ARM,Lithuania,LTU,0,0,5,16,21
38943,2010,Sudan,SDN,United Kingdom of Great Britain and Northern Ireland,GBR,397,17,142,117,673
72025,2010,Zimbabwe,ZWE,Germany,DEU,0,0,0,5,5
6397,2010,Georgia,GEO,Ukraine,UKR,0,0,5,0,5
38876,2010,Dominican Rep.,DOM,United Kingdom of Great Britain and Northern Ireland,GBR,0,0,5,0,5
67091,2010,Egypt,EGY,Sweden,SWE,5,0,81,38,124
39809,2010,Algeria,DZA,Sweden,SWE,0,0,89,44,133
19000,2010,Dem. Rep. of the Congo,COD,Zambia,ZMB,246,0,11,0,257
76188,2010,Egypt,EGY,India,IND,0,0,5,0,5
65126,2010,Ecuador,ECU,United States of America,USA,5,0,0,202,207
39763,2010,Venezuela (Bolivarian Republic of),VEN,Spain,ESP,0,0,14,0,14
38610,2010,Nepal,NPL,Cyprus,CYP,0,0,89,10,99
6168,2010,Iran (Islamic Rep. of),IRN,Denmark,DNK,34,14,52,0,100
81789,2010,Sudan,SDN,Qatar,QAT,0,0,0,5,5
38491,2010,Oman,OMN,Canada,CAN,5,0,0,0,5
76182,2010,Nepal,NPL,"China, Hong Kong SAR",HKG,0,0,24,0,24
38258,2010,Burundi,BDI,Belgium,BEL,38,0,122,10,170
38968,2010,Afghanistan,AFG,Greece,GRC,10,5,191,124,330
6391,2010,Bangladesh,BGD,Ukraine,UKR,0,0,0,5,5
38873,2010,Cyprus,CYP,United Kingdom of Great Britain and Northern Ireland,GBR,0,0,0,5,5
38687,2010,Morocco,MAR,Denmark,DNK,0,0,10,0,10
6219,2010,Congo,COG,Ireland,IRL,0,0,11,0,11
39024,2010,Algeria,DZA,Croatia,HRV,0,0,5,5,10
39894,2010,Turkmenistan,TKM,Sweden,SWE,0,0,11,0,11
38563,2010,China,CHN,Costa Rica,CRI,0,0,0,5,5
18926,2010,Russian Federation,RUS,Liechtenstein,LIE,0,0,14,18,32
38404,2010,Belarus,BLR,Canada,CAN,5,0,14,5,24
67064,2010,Colombia,COL,Netherlands,NLD,0,5,5,0,10
18918,2010,Philippines,PHL,Rep. of Korea,KOR,0,0,5,0,5
6215,2010,Bolivia (Plurinational State of),BOL,Ireland,IRL,0,0,5,0,5
81849,2010,Kuwait,KWT,Thailand,THA,0,0,5,5,10
38910,2010,Sri Lanka,LKA,United Kingdom of Great Britain and Northern Ireland,GBR,237,48,1695,137,2117
39320,2010,Ethiopia,ETH,Malta,MLT,0,10,15,5,30
39759,2010,Uganda,UGA,Spain,ESP,0,0,11,0,11
18755,2010,Benin,BEN,Austria,AUT,0,0,10,0,10
6122,2010,Iran (Islamic Rep. of),IRN,Cyprus,CYP,10,17,134,50,211
65095,2010,Angola,AGO,United States of America,USA,5,0,0,10,15
960,2010,China,CHN,Australia,AUS,172,0,587,45,804
86379,2010,Iraq,IRQ,Lebanon,LBN,0,0,5,0,5
71960,2010,Viet Nam,VNM,United Kingdom of Great Britain and Northern Ireland,GBR,0,0,0,10,10
72026,2010,Stateless,XXA,Germany,DEU,5,0,0,17,22
38756,2010,Romania,ROU,Finland,FIN,0,0,0,93,93
65351,2011,United Arab Emirates,ARE,United States of America,USA,5,0,0,0,5
72059,2011,Cameroon,CMR,Germany,DEU,0,0,0,13,13
41586,2011,Cuba,CUB,El Salvador,SLV,0,0,0,5,5
81974,2011,Myanmar,MMR,"China, Hong Kong SAR",HKG,0,0,5,0,5
82172,2011,Cote d'Ivoire,CIV,Trinidad and Tobago,TTO,0,0,5,0,5
41214,2011,Burundi,BDI,Namibia,NAM,22,0,13,41,76
40651,2011,Dem. Rep. of the Congo,COD,France,FRA,297,10,2327,0,2634
41284,2011,Mongolia,MNG,Netherlands,NLD,0,5,146,0,151
41054,2011,Iraq,IRQ,Italy,ITA,42,129,113,0,284
41794,2011,Sudan,SDN,Sweden,SWE,29,16,41,12,98
41897,2011,Uzbekistan,UZB,Switzerland,CHE,5,0,5,5,15
82098,2011,Iraq,IRQ,Oman,OMN,5,0,0,0,5
1019,2011,Cameroon,CMR,Australia,AUS,5,0,0,0,5
81997,2011,Afghanistan,AFG,Iran (Islamic Rep. of),IRN,105,0,175,1055,1335
41138,2011,Eritrea,ERI,Liechtenstein,LIE,0,5,0,0,5
19201,2011,Iran (Islamic Rep. of),IRN,Rep. of Korea,KOR,0,0,5,0,5
40917,2011,Tunisia,TUN,Croatia,HRV,0,0,0,14,14
15222,2011,United Kingdom of Great Britain and Northern Ireland,GBR,United States of America,USA,5,0,11,22,38
15302,2011,Suriname,SUR,United States of America,USA,0,0,0,12,12
40572,2011,Albania,ALB,Finland,FIN,0,0,0,5,5
40476,2011,Bosnia and Herzegovina,BIH,Cyprus,CYP,0,0,5,0,5
40975,2011,Ethiopia,ETH,Ireland,IRL,0,0,5,5,10
40989,2011,Mauritius,MUS,Ireland,IRL,0,0,15,0,15
40698,2011,Rwanda,RWA,France,FRA,88,0,89,0,177
