,Year,Country of origin,Country of origin (ISO),Country of asylum,Country of asylum (ISO),Recognized decisions,Complementary protection,Rejected decisions,Otherwise closed,Total decisions
48513,2015,Papua New Guinea,PNG,Australia,AUS,52,0,5,19,76
65735,2015,Egypt,EGY,United States of America,USA,696,0,10,239,945
76918,2015,Congo,COG,Turkey,TUR,0,0,0,10,10
72502,2015,Mauritania,MRT,Belgium,BEL,0,0,0,21,21
48554,2015,Angola,AGO,Belgium,BEL,5,0,46,0,51
86539,2015,Sudan,SDN,Syrian Arab Rep.,SYR,36,0,26,5,67
8912,2015,Georgia,GEO,Ireland,IRL,0,0,11,0,11
86550,2015,Somalia,SOM,Turkey,TUR,5,0,0,5,10
20177,2015,Thailand,THA,Rep. of Korea,KOR,0,0,45,0,45
8684,2015,Togo,TGO,Canada,CAN,0,0,5,0,5
50452,2015,Libya,LBY,Switzerland,CHE,16,38,79,46,179
83501,2015,Iran (Islamic Rep. of),IRN,Iraq,IRQ,5,5,0,76,86
1688,2015,Turkey,TUR,United Kingdom of Great Britain and Northern Ireland,GBR,56,0,121,10,187
22629,2015,South Africa,ZAF,New Zealand,NZL,0,0,10,0,10
83389,2015,Nigeria,NGA,Egypt,EGY,0,0,40,0,40
51182,2016,Bangladesh,BGD,Denmark,DNK,0,0,15,0,15
50677,2016,New Zealand,NZL,Australia,AUS,10,0,14,0,24
84070,2016,Benin,BEN,Morocco,MAR,0,0,5,0,5
77054,2016,Viet Nam,VNM,Thailand,THA,5,0,24,0,29
52539,2016,Dem. Rep. of the Congo,COD,Slovakia,SVK,0,0,5,0,5
65916,2016,Kenya,KEN,United States of America,USA,55,0,0,53,108
73012,2016,Ethiopia,ETH,Norway,NOR,5,0,14,0,19
51476,2016,Mauritius,MUS,United Kingdom of Great Britain and Northern Ireland,GBR,0,5,54,5,64
73089,2016,United Rep. of Tanzania,TZA,Sweden,SWE,0,0,14,0,14
52648,2016,Nicaragua,NIC,Sweden,SWE,0,5,28,0,33
70197,2016,Honduras,HND,Germany,DEU,0,12,0,0,12
9735,2016,Kyrgyzstan,KGZ,Sweden,SWE,0,0,68,14,82
52123,2016,Belarus,BLR,Norway,NOR,0,0,0,11,11
67736,2016,Jamaica,JAM,Germany,DEU,0,0,0,5,5
83885,2016,Gambia,GMB,Cameroon,CMR,0,0,0,5,5
73055,2016,Ghana,GHA,Sweden,SWE,0,0,0,5,5
51900,2016,Gabon,GAB,Luxembourg,LUX,5,0,0,0,5
65928,2016,Rep. of Moldova,MDA,United States of America,USA,54,0,0,76,130
50991,2016,Mauritania,MRT,Canada,CAN,26,0,13,0,39
51644,2016,United States of America,USA,Guatemala,GTM,0,0,0,5,5
73037,2016,Benin,BEN,Sweden,SWE,0,0,5,0,5
52258,2016,Lebanon,LBN,Papua New Guinea,PNG,0,0,5,0,5
72887,2016,Pakistan,PAK,United Kingdom of Great Britain and Northern Ireland,GBR,0,0,0,5,5
83870,2016,Nigeria,NGA,China,CHN,0,0,34,21,55
67706,2016,Bangladesh,BGD,Germany,DEU,5,10,162,76,253
70264,2016,Uzbekistan,UZB,Germany,DEU,10,0,5,5,20
20328,2016,Eritrea,ERI,Chad,TCD,0,0,0,5,5
51770,2016,Bolivia (Plurinational State of),BOL,Italy,ITA,0,5,0,0,5
52001,2016,Gambia,GMB,Malta,MLT,0,5,0,0,5
51706,2016,Algeria,DZA,Ireland,IRL,0,0,46,36,82
20333,2016,Nigeria,NGA,Chad,TCD,0,0,0,23,23
72877,2016,Turkey,TUR,France,FRA,27,0,162,157,346
84241,2016,Afghanistan,AFG,Ukraine,UKR,17,0,0,5,22
65945,2016,Philippines,PHL,United States of America,USA,5,0,0,53,58
52839,2016,Turkey,TUR,Venezuela (Bolivarian Republic of),VEN,5,0,0,0,5
15927,2016,Turkey,TUR,United States of America,USA,0,0,12,26,38
51486,2016,Portugal,PRT,United Kingdom of Great Britain and Northern Ireland,GBR,0,0,5,0,5
9267,2016,Lebanon,LBN,Cyprus,CYP,0,0,0,5,5
51239,2016,Bangladesh,BGD,Finland,FIN,0,0,86,53,139
83988,2016,Bangladesh,BGD,Lebanon,LBN,0,0,0,19,19
9445,2016,Syrian Arab Rep.,SYR,Greece,GRC,200,0,0,5,205
72776,2016,Iran (Islamic Rep. of),IRN,Belgium,BEL,0,0,0,17,17
15834,2016,Armenia,ARM,United States of America,USA,22,0,16,134,172
52730,2016,Liberia,LBR,Switzerland,CHE,5,0,5,25,35
1770,2016,Eswatini,SWZ,United Kingdom of Great Britain and Northern Ireland,GBR,0,0,5,0,5
9409,2016,Western Sahara,ESH,France,FRA,20,0,87,11,118
9408,2016,Venezuela (Bolivarian Republic of),VEN,France,FRA,0,0,12,0,12
51037,2016,Uganda,UGA,Canada,CAN,66,0,22,0,88
20402,2016,Togo,TGO,Hungary,HUN,0,0,0,5,5
20288,2016,Kuwait,KWT,Austria,AUT,0,0,0,5,5
9274,2016,Syrian Arab Rep.,SYR,Cyprus,CYP,14,5,0,10,29
72916,2016,Croatia,HRV,Germany,DEU,0,0,0,11,11
52117,2016,Angola,AGO,Norway,NOR,0,0,0,5,5
52270,2016,Congo,COG,Poland,POL,0,0,0,5,5
9515,2016,Ukraine,UKR,Luxembourg,LUX,0,0,5,0,5
9494,2016,Albania,ALB,Luxembourg,LUX,0,0,66,11,77
52781,2016,Congo,COG,Ukraine,UKR,0,0,5,0,5
72751,2016,Angola,AGO,Belgium,BEL,0,0,0,15,15
83915,2016,Sudan,SDN,India,IND,24,0,5,5,34
52233,2016,Syrian Arab Rep.,SYR,Panama,PAN,0,0,0,5,5
67799,2016,Kyrgyzstan,KGZ,Rep. of Moldova,MDA,5,0,0,0,5
50949,2016,Djibouti,DJI,Canada,CAN,105,0,10,0,115
84020,2016,Yemen,YEM,Madagascar,MDG,10,0,0,0,10
50905,2016,Somalia,SOM,Bulgaria,BGR,5,0,5,0,10
67718,2016,Djibouti,DJI,Germany,DEU,0,5,0,0,5
84213,2016,Jordan,JOR,Turkey,TUR,5,0,0,16,21
20492,2016,Somalia,SOM,Montenegro,MNE,0,0,0,5,5
84077,2016,Dem. Rep. of the Congo,COD,Morocco,MAR,26,0,92,95,213
50851,2016,Guinea-Bissau,GNB,Brazil,BRA,5,0,98,0,103
66948,2016,Jordan,JOR,Belgium,BEL,0,0,5,0,5
9346,2016,Eritrea,ERI,France,FRA,137,0,282,17,436
52577,2016,Afghanistan,AFG,Sweden,SWE,1352,2013,4031,4394,11790
15885,2016,Rep. of Korea,KOR,United States of America,USA,5,0,5,22,32
1705,2016,Azerbaijan,AZE,United Kingdom of Great Britain and Northern Ireland,GBR,5,0,0,0,5
9571,2016,Iraq,IRQ,Norway,NOR,13,5,658,78,754
15844,2016,Bosnia and Herzegovina,BIH,United States of America,USA,0,0,5,24,29
84068,2016,Nigeria,NGA,Mongolia,MNG,0,0,5,0,5
52650,2016,Norway,NOR,Sweden,SWE,0,0,5,0,5
51217,2016,Yemen,YEM,Denmark,DNK,0,0,11,0,11
52830,2016,Haiti,HTI,Venezuela (Bolivarian Republic of),VEN,0,0,0,10,10
1719,2016,Gambia,GMB,United Kingdom of Great Britain and Northern Ireland,GBR,45,0,98,0,143
20504,2016,Cote d'Ivoire,CIV,Philippines,PHL,5,0,0,0,5
20502,2016,Ethiopia,ETH,Philippines,PHL,0,0,5,0,5
52176,2016,South Sudan,SSD,Norway,NOR,0,0,5,0,5
52703,2016,Congo,COG,Switzerland,CHE,0,0,0,5,5
53926,2017,Georgia,GEO,Italy,ITA,0,84,45,28,157
53390,2017,Lebanon,LBN,Czechia,CZE,0,0,0,5,5
10498,2017,Brazil,BRA,United States of America,USA,5,0,0,60,65
66093,2017,Thailand,THA,United States of America,USA,5,0,14,5,24
54648,2017,Guinea-Bissau,GNB,Sweden,SWE,0,0,0,5,5
54470,2017,Congo,COG,South Africa,ZAF,42,0,270,0,312
74816,2017,Iraq,IRQ,Russian Federation,RUS,0,15,0,16,31
54019,2017,Georgia,GEO,Liechtenstein,LIE,0,0,0,5,5
20776,2017,Nepal,NPL,Rep. of Korea,KOR,0,0,142,46,188
54137,2017,Ethiopia,ETH,Malta,MLT,5,5,5,5,20
53809,2017,Mongolia,MNG,Hungary,HUN,0,0,0,5,5
53243,2017,Lebanon,LBN,Canada,CAN,123,0,74,19,216
77184,2017,Egypt,EGY,Thailand,THA,0,0,5,0,5
9866,2017,Bangladesh,BGD,Canada,CAN,0,0,28,0,28
10515,2017,Georgia,GEO,United States of America,USA,5,0,0,0,5
53691,2017,Brazil,BRA,Greece,GRC,0,0,5,0,5
53854,2017,Afghanistan,AFG,Ireland,IRL,5,17,5,0,27
54153,2017,Ukraine,UKR,Malta,MLT,0,10,81,18,109
53061,2017,North Macedonia,MKD,Belgium,BEL,20,0,165,0,185
70356,2017,Nicaragua,NIC,Germany,DEU,0,0,5,0,5
10290,2017,Liberia,LBR,Norway,NOR,0,0,5,0,5
53524,2017,Armenia,ARM,United Kingdom of Great Britain and Northern Ireland,GBR,5,0,28,5,38
54814,2017,Armenia,ARM,Ukraine,UKR,0,0,0,5,5
54701,2017,Tajikistan,TJK,Sweden,SWE,5,0,17,20,42
10354,2017,Cameroon,CMR,South Africa,ZAF,0,0,5,424,429
10165,2017,Russian Federation,RUS,Iceland,ISL,0,0,5,0,5
53977,2017,Yemen,YEM,Italy,ITA,20,20,0,5,45
54408,2017,Gambia,GMB,Portugal,PRT,0,0,15,0,15
54165,2017,Angola,AGO,Netherlands,NLD,0,0,5,0,5
84566,2017,Pakistan,PAK,Nepal,NPL,5,0,0,0,5
84572,2017,Iraq,IRQ,Pakistan,PAK,0,0,10,0,10
70273,2017,Egypt,EGY,Germany,DEU,354,135,1625,580,2694
53049,2017,Iraq,IRQ,Belgium,BEL,920,180,1650,0,2750
20732,2017,Romania,ROU,Israel,ISR,0,0,0,16,16
9855,2017,Viet Nam,VNM,Cambodia,KHM,0,0,0,5,5
53788,2017,Afghanistan,AFG,Hungary,HUN,20,509,1220,847,2596
73120,2017,Afghanistan,AFG,Germany,DEU,214,590,413,1728,2945
10295,2017,Morocco,MAR,Norway,NOR,0,0,49,0,49
54241,2017,Afghanistan,AFG,Norway,NOR,134,57,1260,83,1534
53937,2017,Kenya,KEN,Italy,ITA,5,0,13,0,18
66009,2017,Ecuador,ECU,United States of America,USA,79,0,106,2194,2379
20815,2017,Morocco,MAR,Montenegro,MNE,0,0,5,60,65
54760,2017,Kyrgyzstan,KGZ,Switzerland,CHE,0,0,10,0,10
10310,2017,Viet Nam,VNM,Norway,NOR,0,0,5,0,5
73129,2017,Bangladesh,BGD,Germany,DEU,5,5,28,158,196
77141,2017,Iran (Islamic Rep. of),IRN,Lebanon,LBN,0,0,0,10,10
73112,2017,Canada,CAN,United Kingdom of Great Britain and Northern Ireland,GBR,0,0,0,5,5
54680,2017,Pakistan,PAK,Sweden,SWE,64,0,202,73,339
54721,2017,Bahrain,BHR,Switzerland,CHE,0,0,0,5,5
54548,2017,Cameroon,CMR,Spain,ESP,5,0,44,11,60
52959,2017,New Zealand,NZL,Australia,AUS,11,0,0,0,11
10022,2017,Benin,BEN,France,FRA,0,0,5,0,5
9996,2017,Iraq,IRQ,Denmark,DNK,10,13,401,0,424
84395,2017,Egypt,EGY,Indonesia,IDN,0,0,10,5,15
52947,2017,North Macedonia,MKD,Australia,AUS,0,0,5,0,5
1788,2017,Afghanistan,AFG,United Kingdom of Great Britain and Northern Ireland,GBR,568,0,491,40,1099
1814,2017,Ghana,GHA,United Kingdom of Great Britain and Northern Ireland,GBR,11,0,93,5,109
54356,2017,Haiti,HTI,Peru,PER,0,0,11,0,11
70784,2017,Turkey,TUR,Finland,FIN,0,0,5,5,10
75595,2017,Rwanda,RWA,Kenya,KEN,21,0,0,110,131
20858,2017,Ukraine,UKR,Slovakia,SVK,0,12,5,0,17
16022,2017,Spain,ESP,United States of America,USA,0,0,5,12,17
54143,2017,Liberia,LBR,Malta,MLT,0,5,0,0,5
70292,2017,Chile,CHL,Germany,DEU,0,0,5,0,5
84284,2017,Burundi,BDI,Egypt,EGY,12,0,5,5,22
54700,2017,Thailand,THA,Sweden,SWE,0,0,10,5,15
20835,2017,Viet Nam,VNM,Philippines,PHL,10,0,0,0,10
53680,2017,Mali,MLI,Guinea-Bissau,GNB,0,0,0,5,5
53174,2017,Armenia,ARM,Canada,CAN,5,0,0,0,5
53975,2017,Ukraine,UKR,Italy,ITA,42,1222,460,109,1833
84664,2017,Palestinian,PSE,Tunisia,TUN,5,0,0,0,5
52927,2017,Ghana,GHA,Australia,AUS,5,0,16,0,21
54806,2017,Zimbabwe,ZWE,Switzerland,CHE,0,0,0,5,5
73256,2017,Bangladesh,BGD,Sweden,SWE,0,0,10,5,15
84541,2017,Cameroon,CMR,Morocco,MAR,25,0,122,313,460
54603,2017,Venezuela (Bolivarian Republic of),VEN,Spain,ESP,16,0,1502,5,1523
54048,2017,Cameroon,CMR,Luxembourg,LUX,0,0,5,0,5
54565,2017,Haiti,HTI,Spain,ESP,0,0,5,0,5
54037,2017,Pakistan,PAK,Lithuania,LTU,0,0,0,5,5
22683,2017,Nigeria,NGA,Finland,FIN,0,0,65,59,124
20589,2017,Serbia and Kosovo: S/RES/1244 (1999),SRB,Austria,AUT,11,12,262,71,356
53043,2017,Guinea,GIN,Belgium,BEL,460,0,410,0,870
53012,2017,Algeria,DZA,Belgium,BEL,25,0,85,0,110
20567,2017,Kyrgyzstan,KGZ,Austria,AUT,5,5,11,0,21
20836,2017,Syrian Arab Rep.,SYR,Philippines,PHL,21,5,0,5,31
55552,2018,Central African Rep.,CAF,France,FRA,185,109,239,16,549
56346,2018,Togo,TGO,Netherlands,NLD,0,0,5,0,5
55153,2018,Stateless,XXA,Bosnia and Herzegovina,BIH,0,0,0,5,5
57039,2018,Rep. of Moldova,MDA,Ukraine,UKR,0,0,5,0,5
55323,2018,Cote d'Ivoire,CIV,Dem. Rep. of the Congo,COD,0,0,11,0,11
70437,2018,Georgia,GEO,Germany,DEU,10,50,4021,491,4572
1940,2018,Senegal,SEN,United Kingdom of Great Britain and Northern Ireland,GBR,14,0,0,0,14
66180,2018,Kazakhstan,KAZ,United States of America,USA,92,0,171,56,319
68182,2018,Peru,PER,Sweden,SWE,0,0,35,10,45
55470,2018,Albania,ALB,Estonia,EST,0,0,5,0,5
55111,2018,Nepal,NPL,Brazil,BRA,5,0,0,5,10
84960,2018,Somalia,SOM,Mauritania,MRT,0,0,0,5,5
10744,2018,France,FRA,Costa Rica,CRI,0,0,5,0,5
75622,2018,Guinea-Bissau,GNB,Niger,NER,0,0,0,5,5
21043,2018,Spain,ESP,Ecuador,ECU,0,0,5,0,5
55198,2018,Ecuador,ECU,Canada,CAN,5,0,15,0,20
55918,2018,Serbia and Kosovo: S/RES/1244 (1999),SRB,Hungary,HUN,0,0,0,22,22
73382,2018,Iran (Islamic Rep. of),IRN,United Kingdom of Great Britain and Northern Ireland,GBR,0,0,0,12,12
56914,2018,Dem. Rep. of the Congo,COD,Switzerland,CHE,10,33,38,26,107
55849,2018,South Sudan,SSD,Greece,GRC,5,0,0,5,10
21156,2018,Uzbekistan,UZB,Rep. of Korea,KOR,0,0,14,22,36
56264,2018,Palestinian,PSE,Malta,MLT,0,0,5,5,10
85061,2018,Iran (Islamic Rep. of),IRN,Syrian Arab Rep.,SYR,0,0,10,12,22
68106,2018,Syrian Arab Rep.,SYR,Rep. of Moldova,MDA,0,0,0,5,5
85092,2018,Bangladesh,BGD,Trinidad and Tobago,TTO,0,0,0,5,5
74838,2018,Bangladesh,BGD,Russian Federation,RUS,0,0,0,10,10
66134,2018,Central African Rep.,CAF,United States of America,USA,15,0,5,0,20
55216,2018,Haiti,HTI,Canada,CAN,555,0,1349,133,2037
86277,2018,Yemen,YEM,Syrian Arab Rep.,SYR,10,0,0,0,10
56703,2018,Italy,ITA,Spain,ESP,0,0,5,0,5
54911,2018,Senegal,SEN,Argentina,ARG,0,0,236,5,241
56130,2018,Rwanda,RWA,Kenya,KEN,0,59,0,142,201
10679,2018,Guyana,GUY,Canada,CAN,0,0,18,0,18
70433,2018,Eritrea,ERI,Germany,DEU,2218,2969,332,1676,7195
11163,2018,Ethiopia,ETH,United States of America,USA,96,0,10,44,150
55671,2018,Gabon,GAB,United Kingdom of Great Britain and Northern Ireland,GBR,0,0,5,0,5
68077,2018,Sudan,SDN,Germany,DEU,106,16,149,745,1016
55492,2018,Bangladesh,BGD,Finland,FIN,0,0,17,0,17
84744,2018,Liberia,LBR,Algeria,DZA,0,0,0,11,11
84980,2018,Lebanon,LBN,Malaysia,MYS,0,0,5,0,5
11138,2018,Angola,AGO,United States of America,USA,22,0,0,0,22
10764,2018,Ukraine,UKR,Cyprus,CYP,0,0,0,10,10
55140,2018,Palestinian,PSE,Bosnia and Herzegovina,BIH,0,0,0,32,32
56435,2018,Russian Federation,RUS,New Zealand,NZL,15,0,0,0,15
11098,2018,Kazakhstan,KAZ,Poland,POL,5,5,12,0,22
73546,2018,Libya,LBY,Sweden,SWE,5,0,24,21,50
55434,2018,Eritrea,ERI,Denmark,DNK,585,20,5,0,610
55471,2018,Egypt,EGY,Estonia,EST,0,0,5,0,5
55790,2018,Albania,ALB,Greece,GRC,5,0,2448,483,2936
16061,2018,Chad,TCD,United States of America,USA,0,0,5,0,5
56979,2018,Tunisia,TUN,Switzerland,CHE,0,0,49,278,327
66166,2018,Honduras,HND,United States of America,USA,791,0,1737,2363,4891
55822,2018,Jordan,JOR,Greece,GRC,11,0,0,10,21
66211,2018,Nigeria,NGA,United States of America,USA,362,0,1221,295,1878
54982,2018,Central African Rep.,CAF,Burundi,BDI,5,0,0,0,5
55660,2018,Cameroon,CMR,United Kingdom of Great Britain and Northern Ireland,GBR,64,15,171,5,255
73355,2018,Montenegro,MNE,Belgium,BEL,0,0,5,0,5
55231,2018,Japan,JPN,Canada,CAN,0,0,0,5,5
73507,2018,Turkey,TUR,Norway,NOR,0,0,0,5,5
10630,2018,South Africa,ZAF,Australia,AUS,0,0,0,13,13
55945,2018,Syrian Arab Rep.,SYR,Iceland,ISL,5,5,0,11,21
68198,2018,Tajikistan,TJK,Sweden,SWE,0,0,19,10,29
54951,2018,Myanmar,MMR,Australia,AUS,89,0,5,0,94
55906,2018,Dem. Rep. of the Congo,COD,Hungary,HUN,5,0,0,0,5
55396,2018,Palestinian,PSE,Czechia,CZE,0,0,0,5,5
56162,2018,Pakistan,PAK,Lithuania,LTU,0,0,5,0,5
66159,2018,Ghana,GHA,United States of America,USA,12,0,18,30,60
68110,2018,Bangladesh,BGD,Romania,ROU,0,0,5,0,5
56981,2018,Uganda,UGA,Switzerland,CHE,0,0,5,14,19
73396,2018,Burkina Faso,BFA,Germany,DEU,5,0,0,14,19
55228,2018,Italy,ITA,Canada,CAN,0,0,30,5,35
73386,2018,Ukraine,UKR,United Kingdom of Great Britain and Northern Ireland,GBR,0,0,5,0,5
68001,2018,Bangladesh,BGD,Germany,DEU,15,31,858,405,1309
10914,2018,Uganda,UGA,Greece,GRC,0,0,5,0,5
55732,2018,Singapore,SGP,United Kingdom of Great Britain and Northern Ireland,GBR,0,0,12,0,12
84901,2018,Cameroon,CMR,Libya,LBY,0,0,0,5,5
10752,2018,Bangladesh,BGD,Cyprus,CYP,0,0,70,21,91
85111,2018,Afghanistan,AFG,Turkey,TUR,1155,0,0,44773,45928
11036,2018,Albania,ALB,Norway,NOR,0,0,29,0,29
84973,2018,Dem. Rep. of the Congo,COD,Malaysia,MYS,0,0,5,0,5
10652,2018,Azerbaijan,AZE,Canada,CAN,10,0,34,5,49
56643,2018,Yemen,YEM,Russian Federation,RUS,0,0,0,22,22
57075,2018,Eritrea,ERI,Zimbabwe,ZWE,0,0,0,5,5
55700,2018,Libya,LBY,United Kingdom of Great Britain and Northern Ireland,GBR,219,1034,5,44,1302
77216,2018,Eritrea,ERI,Egypt,EGY,5,0,0,0,5
21409,2019,Turkmenistan,TKM,Ecuador,ECU,0,0,10,0,10
11744,2019,Uganda,UGA,Norway,NOR,0,0,5,0,5
21416,2019,Central African Rep.,CAF,Gambia,GMB,0,0,0,5,5
77394,2019,Pakistan,PAK,Sri Lanka,LKA,0,0,12,5,17
11327,2019,Dominican Rep.,DOM,Canada,CAN,0,0,10,0,10
57320,2019,India,IND,Brazil,BRA,0,0,0,5,5
11735,2019,Saudi Arabia,SAU,Norway,NOR,0,0,0,5,5
21500,2019,Libya,LBY,Rep. of Korea,KOR,0,0,0,5,5
58384,2019,Cuba,CUB,Latvia,LVA,0,0,5,5,10
57435,2019,Japan,JPN,Canada,CAN,0,0,5,0,5
57819,2019,Bangladesh,BGD,United Kingdom of Great Britain and Northern Ireland,GBR,88,45,578,112,823
22729,2019,Ghana,GHA,Finland,FIN,0,0,10,5,15
57189,2019,Afghanistan,AFG,Belgium,BEL,154,171,287,366,978
58349,2019,Benin,BEN,Luxembourg,LUX,0,0,10,0,10
59105,2019,Bulgaria,BGR,Sweden,SWE,0,0,5,0,5
68264,2019,Gambia,GMB,Germany,DEU,5,62,1927,1641,3635
73664,2019,Cameroon,CMR,Germany,DEU,5,0,22,83,110
11264,2019,Lebanon,LBN,Australia,AUS,0,0,101,5,106
70614,2019,Saudi Arabia,SAU,Germany,DEU,22,0,5,5,32
57323,2019,Jordan,JOR,Brazil,BRA,0,0,5,0,5
85424,2019,Cameroon,CMR,Malaysia,MYS,5,0,0,0,5
58207,2019,Gambia,GMB,Italy,ITA,280,138,3972,5,4395
21541,2019,Libya,LBY,North Macedonia,MKD,0,0,0,10,10
77374,2019,Iraq,IRQ,Jordan,JOR,5,0,0,17,22
73595,2019,Colombia,COL,Belgium,BEL,0,0,17,0,17
58836,2019,Sudan,SDN,Romania,ROU,0,0,11,0,11
57496,2019,United Arab Emirates,ARE,Canada,CAN,0,0,0,5,5
57794,2019,Syrian Arab Rep.,SYR,France,FRA,869,1604,553,26,3052
58687,2019,Cuba,CUB,Panama,PAN,0,0,0,1215,1215
11701,2019,Burundi,BDI,Norway,NOR,0,0,5,0,5
57900,2019,Viet Nam,VNM,United Kingdom of Great Britain and Northern Ireland,GBR,266,84,336,115,801
11791,2019,Palestinian,PSE,South Africa,ZAF,0,0,0,5,5
58742,2019,Pakistan,PAK,Poland,POL,0,0,13,10,23
85567,2019,Chad,TCD,United Arab Emirates,ARE,5,0,0,0,5
58006,2019,Mali,MLI,Greece,GRC,5,5,14,16,40
58690,2019,Guatemala,GTM,Panama,PAN,0,0,0,5,5
11240,2019,Bangladesh,BGD,Australia,AUS,14,0,196,10,220
58744,2019,Somalia,SOM,Poland,POL,0,5,0,0,5
86623,2019,Dem. Rep. of the Congo,COD,Cameroon,CMR,0,0,0,12,12
21376,2019,Ethiopia,ETH,Chad,TCD,5,0,0,5,10
86619,2019,Sudan,SDN,Egypt,EGY,33,0,11,10,54
59078,2019,Viet Nam,VNM,Slovenia,SVN,0,0,0,5,5
68287,2019,Libya,LBY,Germany,DEU,19,79,213,334,645
57997,2019,Kazakhstan,KAZ,Greece,GRC,0,0,0,5,5
21364,2019,Cameroon,CMR,Central African Rep.,CAF,19,0,5,0,24
57702,2019,Azerbaijan,AZE,France,FRA,35,5,179,5,224
21359,2019,Syrian Arab Rep.,SYR,Bulgaria,BGR,335,0,10,60,405
21429,2019,Togo,TGO,Cote d'Ivoire,CIV,0,0,10,0,10
58272,2019,Ukraine,UKR,Italy,ITA,105,387,3515,0,4007
11629,2019,Sri Lanka,LKA,Ireland,IRL,0,0,5,0,5
57227,2019,Iraq,IRQ,Belgium,BEL,177,63,301,313,854
11388,2019,Somalia,SOM,Canada,CAN,59,0,49,0,108
70566,2019,Indonesia,IDN,Germany,DEU,0,0,10,0,10
59390,2019,South Sudan,SSD,Zimbabwe,ZWE,0,0,0,5,5
66263,2019,Australia,AUS,United States of America,USA,0,0,5,5,10
11761,2019,Iraq,IRQ,Poland,POL,0,0,10,0,10
57709,2019,Brazil,BRA,France,FRA,5,0,43,5,53
85279,2019,Nigeria,NGA,India,IND,0,0,5,0,5
57889,2019,Portugal,PRT,United Kingdom of Great Britain and Northern Ireland,GBR,0,0,5,0,5
11970,2019,Mali,MLI,United States of America,USA,23,0,5,15,43
70624,2019,Sweden,SWE,Germany,DEU,0,0,5,0,5
74892,2019,Sudan,SDN,Russian Federation,RUS,0,0,0,12,12
21496,2019,Kazakhstan,KAZ,Rep. of Korea,KOR,0,0,863,898,1761
16194,2019,Ghana,GHA,United States of America,USA,52,0,56,49,157
58877,2019,Niger,NER,South Africa,ZAF,0,0,26,0,26
75082,2019,Somalia,SOM,Niger,NER,32,0,0,0,32
59171,2019,Serbia and Kosovo: S/RES/1244 (1999),SRB,Sweden,SWE,0,5,230,80,315
57095,2019,China,CHN,Argentina,ARG,0,0,14,0,14
58071,2019,Ghana,GHA,Hungary,HUN,0,0,5,0,5
85445,2019,Turkey,TUR,Malaysia,MYS,5,0,0,0,5
21571,2019,Viet Nam,VNM,Philippines,PHL,5,0,0,0,5
11978,2019,Nicaragua,NIC,United States of America,USA,5,0,10,23,38
73800,2019,Stateless,XXA,Norway,NOR,5,0,0,0,5
16198,2019,Guyana,GUY,United States of America,USA,0,0,14,0,14
73723,2019,Uzbekistan,UZB,Germany,DEU,0,0,0,10,10
57238,2019,Mexico,MEX,Belgium,BEL,0,0,10,0,10
21278,2019,Gambia,GMB,Austria,AUT,10,0,36,11,57
58597,2019,Liberia,LBR,Nigeria,NGA,0,0,0,5,5
70555,2019,United Kingdom of Great Britain and Northern Ireland,GBR,Germany,DEU,0,0,5,0,5
58628,2019,Rep. of Moldova,MDA,Norway,NOR,0,0,5,0,5
58827,2019,Myanmar,MMR,Romania,ROU,0,0,5,0,5
85457,2019,Cameroon,CMR,Morocco,MAR,32,0,167,463,662
21424,2019,Iraq,IRQ,Cote d'Ivoire,CIV,5,0,0,0,5
58141,2019,Libya,LBY,Ireland,IRL,49,20,0,5,74
59128,2019,Honduras,HND,Sweden,SWE,5,0,26,0,31
61347,2020,Gambia,GMB,Sweden,SWE,5,0,71,41,117
12492,2020,Pakistan,PAK,Norway,NOR,0,0,18,14,32
74035,2020,Tajikistan,TJK,Germany,DEU,21,0,15,158,194
12486,2020,Mexico,MEX,Norway,NOR,0,0,5,0,5
74028,2020,Sierra Leone,SLE,Germany,DEU,0,5,10,53,68
60170,2020,Niger,NER,United Kingdom of Great Britain and Northern Ireland,GBR,0,0,0,5,5
73876,2020,Egypt,EGY,Belgium,BEL,0,0,15,0,15
73952,2020,Iraq,IRQ,Finland,FIN,193,37,369,493,1092
70693,2020,Jamaica,JAM,Germany,DEU,5,0,0,19,24
59498,2020,Timor-Leste,TLS,Australia,AUS,0,0,0,19,19
60367,2020,Sierra Leone,SLE,Croatia,HRV,0,0,5,0,5
60294,2020,Kyrgyzstan,KGZ,Greece,GRC,0,0,5,0,5
74059,2020,Eritrea,ERI,Netherlands,NLD,11,0,26,11,48
59831,2020,El Salvador,SLV,Costa Rica,CRI,229,0,311,403,943
12739,2020,Nigeria,NGA,United States of America,USA,111,0,33,48,192
61005,2020,Georgia,GEO,Poland,POL,0,0,57,27,84
16363,2020,Yemen,YEM,United States of America,USA,11,0,12,0,23
59431,2020,Egypt,EGY,Australia,AUS,32,0,26,0,58
74918,2020,Iraq,IRQ,Russian Federation,RUS,0,0,0,5,5
60648,2020,Senegal,SEN,Luxembourg,LUX,0,0,10,0,10
85698,2020,Iran (Islamic Rep. of),IRN,Indonesia,IDN,5,0,5,0,10
66448,2020,Guyana,GUY,United States of America,USA,0,0,33,12,45
12367,2020,Somalia,SOM,Greece,GRC,5,5,44,0,54
60650,2020,Sudan,SDN,Luxembourg,LUX,21,0,12,5,38
12137,2020,United Rep. of Tanzania,TZA,Canada,CAN,15,0,21,0,43
