,Year,Country of origin,Country of origin (ISO),Country of asylum,Country of asylum (ISO),Female 0 - 4,Female 5 - 11,Female 12 - 17,Female 18 - 59,Female 60,Female other,Female total,Male 0 - 4,Male 5 - 11,Male 12 - 17,Male 18 - 59,Male 60,Male other,Male total
7706,2003,Congo,COG,Spain,ESP,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7633,2003,Zambia,ZMB,South Africa,ZAF,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5456,2003,Nigeria,NGA,Argentina,ARG,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6586,2003,Italy,ITA,Germany,DEU,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7499,2003,Liberia,LBR,Panama,PAN,0,0,0,0,0,0,0,0,0,0,5,0,0,5
6710,2003,Tunisia,TUN,Greece,GRC,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6080,2003,Cuba,CUB,Costa Rica,CRI,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8153,2003,Djibouti,DJI,United States of America,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6434,2003,Albania,ALB,United Kingdom of Great Britain and Northern Ireland,GBR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7050,2003,Ethiopia,ETH,Lebanon,LBN,0,0,0,5,0,0,5,0,0,0,0,0,0,0
7968,2003,Romania,ROU,Switzerland,CHE,0,0,0,0,0,61,61,0,0,0,0,0,46,46
5642,2003,Belarus,BLR,Belgium,BEL,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5491,2003,Cuba,CUB,Australia,AUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7527,2003,Somalia,SOM,Philippines,PHL,0,0,0,0,0,0,0,0,0,0,6,0,0,6
5427,2003,Yemen,YEM,Egypt,EGY,8,27,24,96,5,0,160,7,24,20,127,6,0,184
8188,2003,Kenya,KEN,United States of America,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7055,2003,Nigeria,NGA,Lebanon,LBN,0,0,0,0,0,0,0,0,0,0,5,0,0,5
7448,2003,Colombia,COL,New Zealand,NZL,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7165,2003,Liberia,LBR,Morocco,MAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7457,2003,Iraq,IRQ,New Zealand,NZL,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8122,2003,Egypt,EGY,United States of America,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6490,2003,South Africa,ZAF,United Kingdom of Great Britain and Northern Ireland,GBR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5778,2003,Colombia,COL,Brazil,BRA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6380,2003,Mongolia,MNG,France,FRA,0,0,0,0,0,10,10,0,0,0,0,0,8,8
6130,2003,North Macedonia,MKD,Czechia,CZE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8305,2003,Rwanda,RWA,Zimbabwe,ZWE,253,164,141,255,0,0,813,185,201,173,2219,0,0,2778
8008,2003,Afghanistan,AFG,Thailand,THA,0,0,5,0,0,0,5,0,0,0,7,0,0,7
6793,2003,Afghanistan,AFG,Cote d'Ivoire,CIV,0,0,0,0,0,0,0,0,0,0,7,0,0,7
8125,2003,Azerbaijan,AZE,United States of America,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6743,2003,Cuba,CUB,Honduras,HND,0,0,0,0,0,0,0,0,0,0,5,0,0,5
7101,2003,Honduras,HND,Mexico,MEX,0,0,0,16,0,0,16,0,5,0,17,0,0,22
7078,2003,Pakistan,PAK,Latvia,LVA,0,0,0,0,0,0,0,0,0,0,5,0,0,5
5742,2003,Viet Nam,VNM,Burkina Faso,BFA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5554,2003,United Arab Emirates,ARE,Australia,AUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9800,2004,China,CHN,Ireland,IRL,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9437,2004,South Africa,ZAF,United Kingdom of Great Britain and Northern Ireland,GBR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8705,2004,Angola,AGO,Botswana,BWA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9919,2004,Rep. of Moldova,MDA,Italy,ITA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9541,2004,Dem. People's Rep. of Korea,PRK,Germany,DEU,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9493,2004,China,CHN,Germany,DEU,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9415,2004,Kyrgyzstan,KGZ,United Kingdom of Great Britain and Northern Ireland,GBR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10574,2004,Congo,COG,South Africa,ZAF,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9620,2004,Liberia,LBR,Ghana,GHA,2151,3821,3273,11008,486,0,20739,2163,3383,2900,11444,224,0,20114
9432,2004,Nepal,NPL,United Kingdom of Great Britain and Northern Ireland,GBR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
