,Year,Country of origin,Country of origin (ISO),Country of asylum,Country of asylum (ISO),Female 0 - 4,Female 5 - 11,Female 12 - 17,Female 18 - 59,Female 60,Female other,Female total,Male 0 - 4,Male 5 - 11,Male 12 - 17,Male 18 - 59,Male 60,Male other,Male total
23215,2008,Sudan,SDN,Saudi Arabia,SAU,0,6,6,8,0,0,20,0,0,6,13,0,0,19
22122,2008,Syrian Arab Rep.,SYR,Greece,GRC,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21803,2008,Sierra Leone,SLE,Gambia,GMB,518,651,800,1343,198,0,3510,497,627,729,935,156,0,2944
21530,2008,Sri Lanka,LKA,Denmark,DNK,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23690,2008,Lebanon,LBN,Ukraine,UKR,0,0,0,0,0,0,0,0,0,0,5,0,0,5
22274,2008,Ghana,GHA,Ireland,IRL,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23471,2008,Bosnia and Herzegovina,BIH,Switzerland,CHE,35,93,102,484,68,1511,2293,33,84,125,341,27,1411,2021
22458,2008,Russian Federation,RUS,Kazakhstan,KAZ,29,283,308,1164,65,0,1849,44,321,309,1125,44,0,1843
22990,2008,Afghanistan,AFG,Pakistan,PAK,33020,96060,57501,159375,9411,0,355367,34631,102122,68555,185469,18791,0,409568
22084,2008,Sierra Leone,SLE,Guinea-Bissau,GNB,17,20,16,42,0,0,95,20,28,9,52,5,0,114
20775,2008,North Macedonia,MKD,Australia,AUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21580,2008,Nigeria,NGA,Ecuador,ECU,0,0,0,0,0,0,0,0,0,0,5,0,0,5
20808,2008,Turkey,TUR,Australia,AUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21702,2008,Comoros,COM,France,FRA,0,0,0,0,0,22,22,0,0,0,0,0,92,92
21199,2008,Haiti,HTI,Canada,CAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20800,2008,Viet Nam,VNM,Australia,AUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21525,2008,Kazakhstan,KAZ,Denmark,DNK,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22822,2008,Central African Rep.,CAF,Niger,NER,0,0,0,0,0,0,0,0,0,0,5,0,0,5
20649,2008,Chad,TCD,Egypt,EGY,0,0,0,5,0,0,5,0,0,0,11,0,0,11
23606,2008,Central African Rep.,CAF,Togo,TGO,0,0,0,0,0,0,0,0,0,0,9,0,0,9
22234,2008,Sudan,SDN,India,IND,0,0,0,0,0,0,0,0,0,0,16,0,0,16
21757,2008,Romania,ROU,France,FRA,0,0,0,0,0,87,87,0,0,0,0,0,99,99
23910,2008,Rwanda,RWA,Zambia,ZMB,384,304,259,774,33,0,1754,338,298,247,1317,44,0,2244
20764,2008,Kyrgyzstan,KGZ,Australia,AUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22488,2008,Dem. Rep. of the Congo,COD,Liberia,LBR,0,0,0,5,0,0,5,0,0,0,0,0,0,0
22211,2008,Burkina Faso,BFA,Cote d'Ivoire,CIV,0,0,0,0,0,0,0,0,0,0,5,0,0,5
20989,2008,Uganda,UGA,Belgium,BEL,0,0,0,0,0,8,8,0,0,0,0,0,0,0
23135,2008,Senegal,SEN,Romania,ROU,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22552,2008,Azerbaijan,AZE,Latvia,LVA,0,0,0,0,0,0,0,0,5,0,0,0,0,5
21394,2008,Venezuela (Bolivarian Republic of),VEN,Colombia,COL,0,0,7,0,0,0,7,0,0,5,7,0,0,12
22420,2008,Sudan,SDN,Italy,ITA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23742,2008,Chad,TCD,United States of America,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22058,2008,Uganda,UGA,Germany,DEU,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22108,2008,Libya,LBY,Greece,GRC,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23759,2008,Eritrea,ERI,United States of America,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21680,2008,Egypt,EGY,France,FRA,0,0,0,0,0,35,35,0,0,0,0,0,76,76
22385,2008,Guinea,GIN,Italy,ITA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23629,2008,Palestinian,PSE,Tunisia,TUN,0,0,0,5,0,0,5,0,0,0,11,0,0,11
23787,2008,Iraq,IRQ,United States of America,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22035,2008,Serbia and Kosovo: S/RES/1244 (1999),SRB,Germany,DEU,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21223,2008,Saint Lucia,LCA,Canada,CAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20969,2008,Niger,NER,Belgium,BEL,0,0,0,0,0,10,10,0,0,0,0,0,12,12
23426,2008,Pakistan,PAK,Sweden,SWE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21606,2008,Somalia,SOM,Ethiopia,ETH,3429,3952,2907,6963,344,0,17595,3480,4025,2900,5320,305,0,16030
23642,2008,Cote d'Ivoire,CIV,Turkey,TUR,8,0,0,0,0,0,8,0,0,0,0,0,0,0
21378,2008,Congo,COG,Dem. Rep. of the Congo,COD,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22960,2008,Israel,ISR,New Zealand,NZL,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22597,2008,Ghana,GHA,Mexico,MEX,0,0,0,0,0,0,0,0,0,0,5,0,0,5
22238,2008,Iraq,IRQ,Indonesia,IDN,11,8,10,32,0,0,61,8,15,10,92,0,0,125
21384,2008,Ethiopia,ETH,Colombia,COL,0,0,0,0,0,0,0,0,0,0,5,0,0,5
20657,2008,Iraq,IRQ,Egypt,EGY,408,794,689,2760,264,0,4915,396,911,728,2900,241,0,5176
21683,2008,Azerbaijan,AZE,France,FRA,0,0,0,0,0,922,922,0,0,0,0,0,823,823
23233,2008,Nigeria,NGA,Senegal,SEN,0,0,0,0,0,0,0,0,0,0,7,0,0,7
22630,2008,Mauritania,MRT,Mali,MLI,819,730,425,568,90,0,2632,349,623,1212,1215,126,0,3525
22206,2008,Sri Lanka,LKA,Iceland,ISL,0,5,0,0,0,0,5,0,0,0,0,0,0,0
21388,2008,Nicaragua,NIC,Colombia,COL,0,0,13,5,0,0,18,0,0,0,6,0,0,6
21169,2008,Dem. Rep. of the Congo,COD,Canada,CAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22347,2008,Ethiopia,ETH,Israel,ISR,0,0,0,8,0,0,8,0,0,0,39,0,0,39
21856,2008,Libya,LBY,United Kingdom of Great Britain and Northern Ireland,GBR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21935,2008,Canada,CAN,Germany,DEU,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21547,2008,Syrian Arab Rep.,SYR,Denmark,DNK,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23647,2008,Morocco,MAR,Turkey,TUR,0,0,0,5,0,0,5,0,0,0,5,0,0,5
23898,2008,Sudan,SDN,Yemen,YEM,0,6,0,29,0,0,35,0,8,10,36,0,0,54
21986,2008,Kiribati,KIR,Germany,DEU,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20912,2008,Armenia,ARM,Belgium,BEL,0,0,0,0,0,14,14,0,0,0,0,0,21,21
23131,2008,Pakistan,PAK,Romania,ROU,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21360,2008,Togo,TGO,Cameroon,CMR,0,0,0,7,0,0,7,0,0,0,10,0,0,10
21740,2008,Madagascar,MDG,France,FRA,0,0,0,0,0,104,104,0,0,0,0,0,112,112
23409,2008,Libya,LBY,Sweden,SWE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21783,2008,Burundi,BDI,Gabon,GAB,5,9,5,8,0,0,27,0,0,5,7,0,0,12
20625,2008,Congo,COG,Algeria,DZA,0,0,0,0,0,0,0,0,0,0,5,0,0,5
21254,2008,Poland,POL,Canada,CAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22469,2008,Iran (Islamic Rep. of),IRN,Kyrgyzstan,KGZ,0,0,0,0,0,0,0,0,0,0,8,0,0,8
21476,2008,Kazakhstan,KAZ,Czechia,CZE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22810,2008,United Rep. of Tanzania,TZA,Netherlands,NLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21421,2008,Ukraine,UKR,Costa Rica,CRI,0,0,0,8,0,0,8,0,0,0,10,0,0,10
20963,2008,North Macedonia,MKD,Belgium,BEL,0,0,0,0,0,0,0,0,0,0,0,0,10,10
22985,2008,Syrian Arab Rep.,SYR,New Zealand,NZL,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23747,2008,Dem. Rep. of the Congo,COD,United States of America,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21727,2008,Iran (Islamic Rep. of),IRN,France,FRA,0,0,0,0,0,582,582,0,0,0,0,0,1079,1079
23003,2008,Bosnia and Herzegovina,BIH,Panama,PAN,0,0,0,0,0,0,0,0,0,0,5,0,0,5
21043,2008,Dem. Rep. of the Congo,COD,Botswana,BWA,5,7,5,13,0,0,30,5,12,0,55,0,0,72
23670,2008,Rwanda,RWA,Uganda,UGA,1788,2099,945,3150,118,0,8100,1726,1996,967,3224,149,0,8062
22850,2008,Cote d'Ivoire,CIV,Nigeria,NGA,0,0,0,7,0,0,7,0,0,0,29,0,0,29
23242,2008,Dem. Rep. of the Congo,COD,Somalia,SOM,0,0,0,0,0,0,0,0,0,0,7,0,0,7
24627,2009,Zimbabwe,ZWE,Canada,CAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23970,2009,Libya,LBY,Egypt,EGY,0,0,0,0,0,0,0,0,0,0,5,0,0,5
24167,2009,Cote d'Ivoire,CIV,Austria,AUT,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25051,2009,Libya,LBY,France,FRA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26091,2009,Cote d'Ivoire,CIV,Netherlands,NLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26962,2009,Cote d'Ivoire,CIV,Trinidad and Tobago,TTO,0,0,0,0,0,0,0,0,0,0,5,0,0,5
26891,2009,Slovakia,SVK,Switzerland,CHE,0,0,0,0,0,5,5,0,0,0,0,0,0,0
25225,2009,Azerbaijan,AZE,Georgia,GEO,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24762,2009,Sudan,SDN,Cyprus,CYP,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25191,2009,Pakistan,PAK,United Kingdom of Great Britain and Northern Ireland,GBR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25688,2009,Ethiopia,ETH,Italy,ITA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25943,2009,Chad,TCD,Mali,MLI,0,8,0,10,0,0,18,0,0,6,18,0,0,24
25830,2009,Afghanistan,AFG,Lebanon,LBN,0,0,0,0,0,0,0,0,0,0,8,0,0,8
27158,2009,Malawi,MWI,United States of America,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24551,2009,Saint Lucia,LCA,Canada,CAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26024,2009,Sri Lanka,LKA,Malta,MLT,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26491,2009,Cameroon,CMR,South Africa,ZAF,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25820,2009,Chad,TCD,Libya,LBY,0,5,0,5,0,0,10,0,0,5,6,0,0,11
25279,2009,Guatemala,GTM,Germany,DEU,0,0,0,6,0,0,6,0,0,0,0,0,0,0
25149,2009,Ethiopia,ETH,United Kingdom of Great Britain and Northern Ireland,GBR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24118,2009,Thailand,THA,Australia,AUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25723,2009,Peru,PER,Italy,ITA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26831,2009,Colombia,COL,Switzerland,CHE,0,5,0,7,0,133,145,0,0,5,5,0,135,145
24498,2009,Comoros,COM,Canada,CAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25679,2009,Chile,CHL,Italy,ITA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24066,2009,Ghana,GHA,Australia,AUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24010,2009,Liberia,LBR,Argentina,ARG,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26537,2009,Sudan,SDN,Russian Federation,RUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25340,2009,El Salvador,SLV,Germany,DEU,0,0,0,7,0,0,7,0,0,0,5,0,0,5
25357,2009,Turkmenistan,TKM,Germany,DEU,0,6,9,65,17,0,97,0,9,12,78,14,0,113
24234,2009,Bolivia (Plurinational State of),BOL,Belgium,BEL,0,0,0,0,0,0,0,0,0,0,0,0,5,5
26884,2009,Rwanda,RWA,Switzerland,CHE,0,0,5,14,0,95,114,0,5,5,12,0,89,111
25109,2009,Sierra Leone,SLE,Gabon,GAB,0,0,0,0,0,0,0,0,5,0,7,0,0,12
25295,2009,Kazakhstan,KAZ,Germany,DEU,10,47,65,597,208,0,927,11,45,64,554,64,0,738
26821,2009,Bosnia and Herzegovina,BIH,Switzerland,CHE,22,74,80,416,69,1347,2008,22,62,94,325,21,1260,1784
25749,2009,Bosnia and Herzegovina,BIH,Jordan,JOR,0,0,0,5,0,0,5,0,0,0,7,0,0,7
24157,2009,Cuba,CUB,Austria,AUT,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25480,2009,Liberia,LBR,Hungary,HUN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27131,2009,Iraq,IRQ,United States of America,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24084,2009,Liberia,LBR,Australia,AUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24111,2009,Sierra Leone,SLE,Australia,AUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26384,2009,Sri Lanka,LKA,Papua New Guinea,PNG,0,0,5,0,0,0,5,0,0,0,0,0,0,0
25469,2009,Cuba,CUB,Hungary,HUN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26161,2009,El Salvador,SLV,Nicaragua,NIC,0,0,0,34,0,0,34,0,0,0,0,13,0,13
26691,2009,Ethiopia,ETH,Eswatini,SWZ,0,5,6,0,0,0,11,0,0,0,13,0,0,13
24613,2009,Togo,TGO,Canada,CAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25644,2009,Zambia,ZMB,Ireland,IRL,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24924,2009,Afghanistan,AFG,Finland,FIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24680,2009,Sierra Leone,SLE,Congo,COG,0,0,0,5,0,0,5,0,0,0,5,0,0,5
26085,2009,Germany,DEU,Netherlands,NLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26203,2009,Congo,COG,Norway,NOR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27204,2009,Turkmenistan,TKM,United States of America,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25737,2009,Tunisia,TUN,Italy,ITA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26569,2009,Burundi,BDI,Senegal,SEN,0,0,5,11,0,0,16,0,0,0,35,0,0,35
25796,2009,Algeria,DZA,Rep. of Korea,KOR,0,0,0,0,0,0,0,0,0,0,5,0,0,5
24928,2009,Armenia,ARM,Finland,FIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25985,2009,China,CHN,Mongolia,MNG,0,0,0,5,0,0,5,0,0,0,6,0,0,6
24515,2009,Gambia,GMB,Canada,CAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25777,2009,Russian Federation,RUS,Kazakhstan,KAZ,29,283,308,1164,65,0,1849,44,321,309,1125,44,0,1843
26731,2009,Germany,DEU,Sweden,SWE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24633,2009,Chad,TCD,Central African Rep.,CAF,28,88,129,270,0,0,515,43,52,53,533,5,0,686
26609,2009,Ecuador,ECU,Spain,ESP,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27139,2009,Kyrgyzstan,KGZ,United States of America,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25532,2009,Sierra Leone,SLE,Cote d'Ivoire,CIV,0,14,0,7,0,0,21,0,9,0,10,0,0,19
24749,2009,Iraq,IRQ,Cyprus,CYP,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26409,2009,Russian Federation,RUS,Poland,POL,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24970,2009,Nepal,NPL,Finland,FIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24989,2009,Ukraine,UKR,Finland,FIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25102,2009,Congo,COG,Gabon,GAB,275,701,572,2004,97,0,3649,240,733,489,2320,92,0,3874
24934,2009,Bulgaria,BGR,Finland,FIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26587,2009,Eritrea,ERI,Somalia,SOM,5,0,0,11,0,0,16,9,0,0,9,0,0,18
24686,2009,Congo,COG,Dem. Rep. of the Congo,COD,52,48,45,141,0,0,286,53,59,49,248,11,0,420
27249,2009,Ethiopia,ETH,Zambia,ZMB,0,7,0,9,0,0,16,0,0,6,30,0,0,36
25231,2009,Algeria,DZA,Germany,DEU,26,68,129,441,13,0,677,26,85,113,1399,17,0,1640
25448,2009,Colombia,COL,Honduras,HND,0,0,0,0,0,0,0,0,0,0,6,0,0,6
26289,2009,Iran (Islamic Rep. of),IRN,New Zealand,NZL,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24085,2009,Libya,LBY,Australia,AUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26008,2009,Dem. Rep. of the Congo,COD,Mozambique,MOZ,134,250,143,353,9,0,889,164,245,143,491,0,0,1043
26163,2009,Burundi,BDI,Nigeria,NGA,0,0,0,0,0,0,0,0,0,0,6,0,0,6
26427,2009,Angola,AGO,Portugal,PRT,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24177,2009,Sri Lanka,LKA,Austria,AUT,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26290,2009,Iraq,IRQ,New Zealand,NZL,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26501,2009,Liberia,LBR,South Africa,ZAF,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25494,2009,Sierra Leone,SLE,Hungary,HUN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24049,2009,Bulgaria,BGR,Australia,AUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27560,2010,Iran (Islamic Rep. of),IRN,Azerbaijan,AZE,0,0,6,20,0,0,26,0,6,6,66,0,0,78
28656,2010,Japan,JPN,Germany,DEU,13,16,10,19,5,0,63,20,18,11,11,0,0,60
28789,2010,Colombia,COL,Guatemala,GTM,0,0,0,0,0,0,0,0,5,0,0,0,0,5
30016,2010,Colombia,COL,Spain,ESP,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30698,2010,Angola,AGO,Zimbabwe,ZWE,0,5,0,0,0,0,5,0,0,0,0,0,0,0
30701,2010,Dem. Rep. of the Congo,COD,Zimbabwe,ZWE,242,330,199,626,15,0,1412,276,352,229,785,16,0,1658
29953,2010,Burundi,BDI,Rwanda,RWA,15,38,20,96,5,0,174,15,22,38,87,5,0,167
30573,2010,Dem. People's Rep. of Korea,PRK,United States of America,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30487,2010,Russian Federation,RUS,Uruguay,URY,0,0,0,0,0,0,0,0,0,0,11,0,0,11
27901,2010,Kuwait,KWT,Canada,CAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29917,2010,Zimbabwe,ZWE,South Africa,ZAF,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29179,2010,Ghana,GHA,Rep. of Korea,KOR,0,0,0,5,0,0,5,0,0,0,0,0,0,0
29856,2010,Cameroon,CMR,Romania,ROU,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29591,2010,Burkina Faso,BFA,Norway,NOR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27962,2010,Syrian Arab Rep.,SYR,Canada,CAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29465,2010,Congo,COG,Netherlands,NLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28952,2010,Estonia,EST,Ireland,IRL,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29201,2010,Sierra Leone,SLE,Liberia,LBR,5,13,26,36,6,0,86,6,12,27,34,5,0,84
30132,2010,Bulgaria,BGR,Sweden,SWE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28064,2010,Liberia,LBR,Colombia,COL,0,0,0,0,0,0,0,0,0,0,5,0,0,5
30655,2010,Azerbaijan,AZE,Uzbekistan,UZB,0,0,0,0,5,0,5,0,0,0,0,0,0,0
30409,2010,Liberia,LBR,Turkey,TUR,5,0,0,0,0,0,5,0,0,0,0,0,0,0
28111,2010,China,CHN,Cyprus,CYP,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28215,2010,Mongolia,MNG,Denmark,DNK,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29124,2010,Lebanon,LBN,Jordan,JOR,0,0,0,0,0,0,0,0,5,0,0,0,0,5
30127,2010,Bhutan,BTN,Sweden,SWE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27594,2010,Czechia,CZE,Belgium,BEL,0,0,0,0,0,5,5,0,0,0,0,0,6,6
28579,2010,Venezuela (Bolivarian Republic of),VEN,United Kingdom of Great Britain and Northern Ireland,GBR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29019,2010,Kuwait,KWT,Iran (Islamic Rep. of),IRN,0,0,0,8,0,0,8,0,0,0,0,0,0,0
29490,2010,Jordan,JOR,Netherlands,NLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27795,2010,Iraq,IRQ,Bulgaria,BGR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29119,2010,Egypt,EGY,Jordan,JOR,0,0,0,5,0,0,5,0,5,6,5,0,0,16
29674,2010,Cameroon,CMR,New Zealand,NZL,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30579,2010,Lebanon,LBN,United States of America,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30030,2010,India,IND,Spain,ESP,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28824,2010,Uzbekistan,UZB,Croatia,HRV,0,0,0,0,0,0,0,0,0,5,0,0,0,5
29128,2010,Syrian Arab Rep.,SYR,Jordan,JOR,8,21,27,41,0,0,97,9,11,21,53,7,0,101
28206,2010,Jordan,JOR,Denmark,DNK,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28162,2010,Rep. of Moldova,MDA,Czechia,CZE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28176,2010,Turkey,TUR,Czechia,CZE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28450,2010,Uganda,UGA,France,FRA,0,0,0,0,0,16,16,0,0,0,0,0,31,31
29792,2010,Cuba,CUB,Poland,POL,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28268,2010,Pakistan,PAK,Ecuador,ECU,0,0,0,0,0,0,0,0,0,0,29,0,0,29
29624,2010,Liberia,LBR,Norway,NOR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29110,2010,Uganda,UGA,Italy,ITA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28069,2010,Serbia and Kosovo: S/RES/1244 (1999),SRB,Colombia,COL,0,0,0,0,0,0,0,0,0,0,7,0,0,7
29671,2010,Cambodia,KHM,New Zealand,NZL,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28518,2010,Cote d'Ivoire,CIV,United Kingdom of Great Britain and Northern Ireland,GBR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28435,2010,Peru,PER,France,FRA,0,0,0,0,0,112,112,0,0,0,0,0,156,156
30581,2010,Lithuania,LTU,United States of America,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29821,2010,Zimbabwe,ZWE,Poland,POL,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28847,2010,Libya,LBY,Hungary,HUN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29116,2010,Stateless,XXA,Italy,ITA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29535,2010,Tunisia,TUN,Netherlands,NLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29989,2010,Rwanda,RWA,Senegal,SEN,0,0,7,76,0,0,83,5,0,5,193,0,0,203
30620,2010,Senegal,SEN,United States of America,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29622,2010,Dem. People's Rep. of Korea,PRK,Norway,NOR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29990,2010,Somalia,SOM,Senegal,SEN,0,0,0,0,0,0,0,0,0,0,5,0,0,5
29714,2010,Syrian Arab Rep.,SYR,New Zealand,NZL,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29439,2010,Iraq,IRQ,Nepal,NPL,0,0,0,0,0,0,0,0,0,0,5,0,0,5
30205,2010,Viet Nam,VNM,Sweden,SWE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29176,2010,Cameroon,CMR,Rep. of Korea,KOR,0,0,0,0,0,0,0,0,0,0,6,0,0,6
27503,2010,Eritrea,ERI,Austria,AUT,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27674,2010,Sudan,SDN,Benin,BEN,0,0,0,0,0,0,0,0,0,0,8,0,0,8
28444,2010,Sudan,SDN,France,FRA,0,0,0,0,0,215,215,0,0,0,0,0,1382,1382
28304,2010,Algeria,DZA,Finland,FIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27497,2010,China,CHN,Austria,AUT,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29376,2010,Angola,AGO,Morocco,MAR,5,0,0,0,0,0,5,0,0,0,0,0,0,0
30644,2010,Uganda,UGA,United States of America,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29819,2010,Ukraine,UKR,Poland,POL,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29940,2010,Rep. of Moldova,MDA,Russian Federation,RUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27811,2010,Stateless,XXA,Bulgaria,BGR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28814,2010,Somalia,SOM,"China, Hong Kong SAR",HKG,0,0,5,9,0,0,14,0,0,0,26,0,0,26
30502,2010,Belgium,BEL,United States of America,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30384,2010,Rwanda,RWA,Togo,TGO,6,14,20,64,5,0,109,10,12,26,88,0,0,136
30377,2010,Dem. Rep. of the Congo,COD,Togo,TGO,5,0,7,21,0,0,33,5,5,0,33,0,0,43
29408,2010,Ethiopia,ETH,Malta,MLT,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30647,2010,Uzbekistan,UZB,United States of America,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27326,2010,Uganda,UGA,Egypt,EGY,0,0,0,6,0,0,6,0,0,0,6,0,0,6
30485,2010,Nigeria,NGA,Uruguay,URY,0,0,0,0,0,0,0,0,0,0,15,0,0,15
28950,2010,Czechia,CZE,Ireland,IRL,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27540,2010,Sierra Leone,SLE,Austria,AUT,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29501,2010,Sri Lanka,LKA,Netherlands,NLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27379,2010,Georgia,GEO,Armenia,ARM,0,0,0,6,0,0,6,0,0,0,5,0,0,5
