year,disaster_group,disaster_subgroup,disaster_type,disaster_subtype,country_origin,country_origin(ISO),region,continent,location,total_deaths,total_affected,geo_locations
2002,Natural,Geophysical,Earthquake,Ground movement,Afghanistan,AFG,Southern Asia,Asia,"Dawabi, Khojakeder villages (Nahrin district, Baghlan province)",50.0,6150.0,Nahrin (Adm2).
2002,Natural,Hydrological,Flood,Riverine flood,Brazil,BRA,South America,Americas,Teofilo Otoni district (Minas Gerais province),17.0,1500.0,Teofilo Otoni (Adm2).
2002,Natural,Hydrological,Landslide,Mudslide,Switzerland,CHE,Western Europe,Europe,"Graubunden, Uri, Ticino, Geneve, Vaud Provinces",1.0,231.0,"Geneve, Graubunden, Ticino, Uri, Vaud (Adm1)."
2002,Natural,Hydrological,Flood,Riverine flood,Bolivia (Plurinational State of),BOL,South America,Americas,"La Paz city (Murillo district, La Paz province)",76.0,5146.0,Murillo (Adm2).
2002,Natural,Meteorological,Storm,Convective storm,Albania,ALB,Southern Europe,Europe,"Diber, Bulqize, Mat, Shkoder, Malesi E Madhe, Puke, Kukes, Has, Tropoje, Lezhe, Kurbin, Mirdite provinces (Shkoder, Diber, Kukes, Lezhe prefectures) (Shkoder, Diber, Puke, Kukes, Dibrell, Chukkas, Lezhe most affected cities)",6.0,125000.0,"Bulqize, Diber, Has, Kukes, Kurbin, Lezhe, Malesi E Madhe, Mat, Mirdite, Puke, Shkoder, Tropoje (Adm1)."
2002,Natural,Hydrological,Flood,Riverine flood,Chile,CHL,South America,Americas,"Metropolitana, Atacama, Coquimbo, Valparaiso, Libertador Gral. Bernardo O'higgins, Maule, Bio Bio, Araucania provinces",14.0,221842.0,"Araucania, Atacama, Biobio, Coquimbo, Libertador Gral. Bernardo O'Higgins, Maule, Metropolitana, Valparaiso (Adm1)."
2002,Natural,Hydrological,Landslide,Mudslide,Brazil,BRA,South America,Americas,"Angra Dos Reis district, Rio de Janeiro province",74.0,1500.0,Angra Dos Reis (Adm2).
2002,Natural,Hydrological,Flood,Riverine flood,Afghanistan,AFG,Southern Asia,Asia,"Deh Miran area (Garziwan district, Faryab province)",39.0,4225.0,Garziwan (Adm2).
2002,Natural,Hydrological,Flood,Riverine flood,Afghanistan,AFG,Southern Asia,Asia,"Qala-e-Naw, Abkamari districts (Badghis province)",7.0,1200.0,"Abkamari, Qala-e-Naw (Adm2)."
2002,Natural,Hydrological,Landslide,Avalanche,Afghanistan,AFG,Southern Asia,Asia,Salang district (Parwan province),5.0,400.0,Salang (Adm2).
